Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-20 09:15:00,77468.45,77481.82,77375.75,77461.28,0,0
2026-08-20 09:16:00,77451.62,77494.79,77449.78,77452.93,0,0
2026-08-20 09:17:00,77460.86,77469.79,77417.35,77418.45,0,0
2026-08-20 09:18:00,77417.99,77441.22,77417.99,77428.55,0,0
2026-08-20 09:19:00,77430.23,77432.35,77393.1,77398.64,0,0
2026-08-20 09:20:00,77394.61,77410.73,77382.0,77399.38,0,0
2026-08-20 09:21:00,77401.36,77409.07,77384.66,77403.72,0,0
2026-08-20 09:22:00,77403.65,77409.94,77395.47,77402.16,0,0
2026-08-20 09:23:00,77398.23,77404.37,77387.77,77396.99,0,0
2026-08-20 09:24:00,77402.0,77403.59,77386.46,77393.34,0,0
2026-08-20 09:25:00,77393.19,77420.15,77386.87,77414.33,0,0
2026-08-20 09:26:00,77416.95,77421.18,77403.95,77414.26,0,0
2026-08-20 09:27:00,77414.96,77429.49,77402.71,77404.67,0,0
2026-08-20 09:28:00,77407.14,77423.57,77400.28,77423.57,0,0
2026-08-20 09:29:00,77422.51,77423.83,77394.51,77399.89,0,0
2026-08-20 09:30:00,77405.83,77418.32,77399.04,77404.99,0,0
2026-08-20 09:31:00,77402.11,77418.52,77394.62,77399.86,0,0
2026-08-20 09:32:00,77398.42,77410.96,77391.85,77402.46,0,0
2026-08-20 09:33:00,77401.96,77414.63,77390.96,77398.04,0,0
2026-08-20 09:34:00,77401.25,77431.57,77394.01,77430.22,0,0
2026-08-20 09:35:00,77428.37,77466.47,77424.13,77458.8,0,0
2026-08-20 09:36:00,77462.34,77474.58,77458.92,77461.54,0,0
2026-08-20 09:37:00,77462.1,77468.46,77452.5,77452.5,0,0
2026-08-20 09:38:00,77454.08,77455.34,77433.07,77447.04,0,0
2026-08-20 09:39:00,77446.82,77450.75,77432.99,77450.18,0,0
2026-08-20 09:40:00,77450.57,77477.19,77444.1,77477.19,0,0
2026-08-20 09:41:00,77473.46,77476.76,77465.76,77469.8,0,0
2026-08-20 09:42:00,77468.86,77473.35,77455.29,77455.29,0,0
2026-08-20 09:43:00,77457.6,77473.8,77450.93,77467.15,0,0
2026-08-20 09:44:00,77471.72,77489.18,77471.72,77480.26,0,0
2026-08-20 09:45:00,77482.94,77502.23,77481.0,77496.81,0,0
2026-08-20 09:46:00,77499.08,77499.91,77480.57,77485.83,0,0
2026-08-20 09:47:00,77480.04,77482.49,77460.27,77467.75,0,0
2026-08-20 09:48:00,77467.02,77474.77,77457.82,77472.74,0,0
2026-08-20 09:49:00,77472.13,77478.9,77466.29,77470.53,0,0
2026-08-20 09:50:00,77466.95,77466.95,77452.33,77456.38,0,0
2026-08-20 09:51:00,77454.86,77455.08,77441.51,77443.47,0,0
2026-08-20 09:52:00,77447.67,77451.15,77436.84,77436.9,0,0
2026-08-20 09:53:00,77437.58,77439.3,77426.52,77434.71,0,0
2026-08-20 09:54:00,77440.12,77453.97,77434.41,77452.83,0,0
2026-08-20 09:55:00,77449.22,77465.18,77447.52,77460.06,0,0
