Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-23 15:11:00,249600.0,249600.0,249600.0,249600.0,1,19
2026-09-23 15:12:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:13:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:14:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:15:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:16:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:17:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:18:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:19:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:20:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:21:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:22:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:23:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:24:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:25:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:26:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:27:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:28:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:29:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:30:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:31:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:32:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:33:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:34:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:35:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:36:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:37:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:38:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:39:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:40:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:41:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:42:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:43:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:44:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:45:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:46:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:47:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:48:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:49:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:50:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:51:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:52:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:53:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:54:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:55:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:56:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:57:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:58:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 15:59:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:00:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:01:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:02:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:03:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:04:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:05:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:06:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:07:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:08:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:09:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:10:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:11:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:12:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:13:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:14:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:15:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:16:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:17:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:18:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:19:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:20:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:21:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:22:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:23:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:24:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:25:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:26:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:27:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:28:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:29:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:30:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:31:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:32:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:33:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:34:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:35:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:36:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:37:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:38:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:39:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:40:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:41:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:42:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:43:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:44:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:45:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:46:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:47:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:48:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:49:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:50:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:51:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:52:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:53:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:54:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:55:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:56:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:57:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:58:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 16:59:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 17:00:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 17:01:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 17:02:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 17:03:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 17:04:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 17:05:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 17:06:00,249600.0,249600.0,249600.0,249600.0,0,19
2026-09-23 17:07:00,249600.0,249600.0,249600.0,249600.0,0,19
