Date,Open,High,Low,Close,Volume,OpenInterest
2026-07-30 14:49:00,59.1275,59.1275,59.1275,59.1275,5,0
2026-07-30 14:50:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:51:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:52:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:53:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:54:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:55:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:56:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:57:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:58:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 14:59:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:00:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:01:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:02:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:03:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:04:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:05:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:06:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:07:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:08:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:09:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:10:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:11:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:12:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:13:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:14:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:15:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:16:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:17:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:18:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:19:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:20:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:21:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:22:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:23:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:24:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:25:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:26:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:27:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:28:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:29:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:30:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:31:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:32:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:34:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:35:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:36:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:37:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:38:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:39:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:40:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:41:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:42:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:43:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:44:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:45:00,59.1275,59.1275,59.1275,59.1275,0,0
2026-07-30 15:46:00,59.13,59.13,59.13,59.13,2,0
2026-07-30 15:47:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:48:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:49:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:50:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:51:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:52:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:53:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:54:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:55:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:56:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:57:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:58:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 15:59:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:00:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:01:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:02:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:03:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:04:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:05:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:06:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:07:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:08:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:10:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:11:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:12:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:13:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:14:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:15:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:16:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:17:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:19:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:20:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:21:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:22:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:23:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:25:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:26:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:28:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:29:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:30:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:31:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:32:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:33:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:34:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:35:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:36:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:37:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:38:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:39:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:40:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:41:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:42:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:43:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:44:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:45:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:46:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:47:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:48:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:49:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:51:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:52:00,59.13,59.13,59.13,59.13,0,0
2026-07-30 16:53:00,59.13,59.13,59.13,59.13,0,0
