Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-17 09:15:00,74182.62,74376.22,74163.95,74264.3,0,0
2026-09-17 09:16:00,74261.09,74302.17,74197.46,74278.57,0,0
2026-09-17 09:17:00,74275.72,74376.25,74275.72,74376.25,0,0
2026-09-17 09:18:00,74377.74,74417.08,74370.8,74402.53,0,0
2026-09-17 09:19:00,74401.3,74406.27,74384.32,74398.61,0,0
2026-09-17 09:20:00,74395.96,74422.94,74372.94,74396.16,0,0
2026-09-17 09:21:00,74398.57,74409.86,74367.31,74382.63,0,0
2026-09-17 09:22:00,74383.45,74389.16,74333.57,74338.49,0,0
2026-09-17 09:23:00,74342.85,74342.85,74320.49,74323.53,0,0
2026-09-17 09:24:00,74325.75,74333.68,74293.06,74293.06,0,0
2026-09-17 09:25:00,74300.25,74323.95,74297.51,74302.02,0,0
2026-09-17 09:26:00,74301.75,74326.98,74292.43,74326.98,0,0
2026-09-17 09:27:00,74317.9,74343.15,74305.21,74343.15,0,0
2026-09-17 09:28:00,74342.79,74385.02,74342.79,74381.6,0,0
2026-09-17 09:29:00,74377.9,74384.33,74339.21,74352.44,0,0
2026-09-17 09:30:00,74358.73,74405.1,74347.88,74397.0,0,0
2026-09-17 09:31:00,74397.05,74418.34,74390.65,74418.34,0,0
2026-09-17 09:32:00,74422.79,74474.95,74420.7,74469.8,0,0
2026-09-17 09:33:00,74474.04,74501.86,74465.37,74465.37,0,0
2026-09-17 09:34:00,74464.95,74491.15,74453.64,74483.65,0,0
2026-09-17 09:35:00,74482.91,74533.36,74477.59,74532.99,0,0
2026-09-17 09:36:00,74534.27,74537.6,74504.4,74504.4,0,0
2026-09-17 09:37:00,74501.38,74519.87,74494.79,74501.58,0,0
2026-09-17 09:38:00,74496.76,74511.37,74474.54,74474.54,0,0
2026-09-17 09:39:00,74469.39,74469.39,74436.04,74441.98,0,0
2026-09-17 09:40:00,74444.17,74448.57,74415.44,74434.32,0,0
2026-09-17 09:41:00,74432.74,74440.95,74403.26,74407.05,0,0
2026-09-17 09:42:00,74408.18,74408.18,74330.26,74330.26,0,0
2026-09-17 09:43:00,74331.78,74367.85,74312.6,74366.9,0,0
2026-09-17 09:44:00,74366.6,74372.52,74343.64,74365.62,0,0
2026-09-17 09:45:00,74367.44,74395.65,74352.89,74356.41,0,0
2026-09-17 09:46:00,74356.73,74366.27,74350.79,74357.02,0,0
2026-09-17 09:47:00,74367.49,74387.3,74359.18,74382.73,0,0
2026-09-17 09:48:00,74390.65,74403.28,74386.08,74388.02,0,0
2026-09-17 09:49:00,74387.36,74428.01,74387.36,74420.99,0,0
2026-09-17 09:50:00,74414.77,74416.05,74389.52,74401.53,0,0
2026-09-17 09:51:00,74400.52,74418.72,74399.16,74416.39,0,0
2026-09-17 09:52:00,74421.37,74453.87,74413.47,74453.87,0,0
2026-09-17 09:53:00,74448.85,74449.48,74436.62,74448.54,0,0
2026-09-17 09:54:00,74443.72,74483.16,74439.65,74469.0,0,0
2026-09-17 09:55:00,74470.22,74485.33,74465.77,74467.18,0,0
2026-09-17 09:56:00,74466.63,74471.96,74432.46,74438.46,0,0
2026-09-17 09:57:00,74438.84,74468.03,74425.71,74466.78,0,0
2026-09-17 09:58:00,74470.92,74486.52,74466.22,74481.77,0,0
2026-09-17 09:59:00,74480.93,74482.4,74456.77,74461.09,0,0
2026-09-17 10:00:00,74459.51,74474.58,74451.38,74462.54,0,0
2026-09-17 10:01:00,74459.89,74479.36,74454.88,74472.35,0,0
2026-09-17 10:02:00,74472.59,74492.89,74463.81,74491.06,0,0
2026-09-17 10:03:00,74492.26,74503.46,74487.36,74494.21,0,0
2026-09-17 10:04:00,74498.42,74502.04,74484.7,74492.27,0,0
2026-09-17 10:05:00,74487.92,74554.61,74486.61,74550.99,0,0
2026-09-17 10:06:00,74547.93,74549.29,74530.26,74539.48,0,0
2026-09-17 10:07:00,74538.51,74538.51,74508.26,74522.62,0,0
2026-09-17 10:08:00,74522.58,74533.28,74518.96,74519.44,0,0
2026-09-17 10:09:00,74523.62,74534.74,74520.13,74534.74,0,0
2026-09-17 10:10:00,74534.51,74557.53,74531.38,74553.9,0,0
2026-09-17 10:11:00,74553.9,74589.8,74553.9,74583.75,0,0
2026-09-17 10:12:00,74579.45,74587.18,74574.69,74574.69,0,0
2026-09-17 10:13:00,74573.06,74577.81,74565.09,74567.7,0,0
2026-09-17 10:14:00,74566.4,74566.4,74539.41,74554.13,0,0
2026-09-17 10:15:00,74549.63,74570.32,74548.66,74554.94,0,0
2026-09-17 10:16:00,74549.54,74557.68,74543.71,74544.64,0,0
2026-09-17 10:17:00,74547.26,74547.66,74524.01,74526.09,0,0
2026-09-17 10:18:00,74525.34,74531.27,74507.32,74513.95,0,0
2026-09-17 10:19:00,74513.34,74520.37,74493.51,74498.06,0,0
2026-09-17 10:20:00,74496.22,74510.84,74480.77,74505.03,0,0
2026-09-17 10:21:00,74508.41,74521.67,74507.78,74511.57,0,0
2026-09-17 10:22:00,74506.93,74516.42,74504.03,74505.51,0,0
